Number;Text;Flag
500183;Hned jakmile bude nějaký Kancléř či GameMaster dostupný, tak se ti ozve!;Modified
500184;Jakmile bude nějaký GameMaster dostupný, ozve se!;Modified
500185;Jakmile bude nějaký Kancléř dostupný, ozve se!;Modified
500186;Zdravím.  Porozhlédni se tu.;Modified
500187;Tvoje objednávka nemůže být splněna, zkus to znovu.;Modified
500188;Tvoje objednávka nemůže být splněna, zkus to znovu.;Modified
500189;Tvoje objednávka nemůže být splněna, zkus to znovu.;Modified
500190;Nic jsi nekoupil!;Modified
500191;Begging thy pardon, but thy bank account lacks these funds.;Original
500192;Begging thy pardon, but thou canst not afford that.;Original
500193;Už nikdy is od tebe nic nekoupím.;Modified
500194;Najednou můžeš prodat jen 5 věcí!;Modified
500195;Neschopný splnit tvůj požadavek.;Modified
500196;Nemůžeš prodávat jakékoli schránky dokud nejspou prázdné.;Modified
500197;Nic jsi nenabídl!;Modified
500198;Neschopný splnit tvůj požadavek.;Modified
500199;Ahh! Přesně to jsme sháněli!;Modified
500200;Nemám pro to žádné užití.;Modified
500201;Já nemohu zemřít.;Modified
500202;Kouzlo se nepovedlo;Modified
500203;Nedostatek many;Modified
500204;Nemůžeš nic říct, byl jsi umlčen.;Modified
500205;Nemůžeš nasednout na přítelíčka, který bojuje.;Modified
500206;Je moc daleko.;Modified
500207;Kniha kouzel musí být ve tvém batůžku ( a v žádné jiné schránce uvnitř ) aby si ji mohl otevřít.;Modified
500208;Vypadá to, že je to prázdné.;Modified
500209;Nemůžeš se do té schránky podívat.;Modified
500210;Nepodařilo se ti do schránky nahlédnout.;Modified
500211;Jsi tak unavený, že nehneš ani prstem.;Modified
500212;Nepodařilo se ti do schránky nahlédnout.;Modified
500213;Nejsi dostatečně silný na to abys to mohl nosit.;Modified
500214;Již něco držíš.;Modified
500215;Můžeš držet jen jednu zbraň.;Modified
500216;Musíš mít obě ruce prázdné, aby si mohl držet tuto zbraň.;Modified
500217;Tvoje pravá ruka musí být prázdná, aby si mohl držet tuto zbraň.;Modified
500218;Tvoje levá ruka musí být prázdná, aby si mohl držet tuto zbraň.;Modified
500219;Již držíš obouruční zbraň.;Modified
500220;OOO! To je chytré!;Modified
500221;Ha ha!  Netrefils mě!;Modified
500222;Na čem to mám uvařit ?;Modified
500223;Na čem to mám uvařit ?;Modified
500224;Na čem to mám uvařit ?;Modified
500225;Na čem to mám uvařit ?;Modified
500226;Na čem to mám uvařit ?;Modified
500227;Hromada prken;Modified
500228;Hromada prken;Modified
500229;Hranice;Modified
500230;Hranice;Modified
500231;Cítíš se zbaven všech jedů!;Modified
500232;Tento nápoj nebyl dost silný aby vyléčil tvé obtíže!;Modified
500233;Již jsi otráven.;Modified
500234;Tohle tě mohlo otrávit, pokud bys nebyl nový v zemích Midkemie.  V budoucnu si dávej pozor.;Modified
500235;Musíš pár vteřin počkat, než budeš moci použít další léčivý lektvar.;Modified
500236;Měl bys to hodit teď!;Modified
500237;Cíl nelze zahlédnout.;Modified
500238;Zvol přísadu se kterou smíchat nebo oheň na kterém vařit.;Modified
500239;standartní;Modified
500240;Na čem to mám uvařit ?;Modified
500241;nesprávné jméno;Modified
500242;Na čem to mám uvařit ?;Modified
500243;Upekl jsi dobrotu.;Modified
500244;Na čem to mám uvařit ?;Modified
500245;Je čas začít otevírat.;Modified
500246;Stále se otvírá.;Modified
500247;Závěs je nyní otevřený.;Modified
500248;Je čas začít otevírat.;Modified
500249;Stále se otvírá.;Modified
500250;Závěs je nyní otevřený.;Modified
500251;Místo je příliš daleko.;Modified
500252;Zde nemůže být vytvořena loď.;Modified
500253;max =;Modified
500254;poměr =;Modified
500255;úroveň =;Modified
500256;satisfakce =;Modified
500257;Na čem to mám uvařit ?;Modified
500258;Na čem to mám uvařit ?;Modified
500259;Enter the area of operation for the terrain scan, in (x, y) (x, y) format:;Original
500260;Setting of operations area cancelled.;Original
500261;Format for operations area incorrect.;Original
500262;Terrain scan complete.;Original
500263;*Kyselinová krev poničila tvou zbraň !*;Modified
500264;Upřímně, nejsem klíč.;Modified
500265;Upřímně, nejsem klíč.;Modified
500266;Co by jsi chtěl přidat ?;Modified
500267;Nedefinován typ ! CHYBA;Modified
500268;This object needs to be mounted on something.;Original
500269;Nemůžeš to zde postavit.;Modified
500270;Nemůžeš to zde postavit.;Modified
500271;Nemůžeš stavět poblíž dveří.;Modified
500272;Nemůžeš stavět poblíž schodů.;Modified
500273;Tahle doplňková smlouva je prázdná.;Modified
500274;Tohle můžeš umístit pouze v domě, který vlastníš!;Modified
500275;Tohle můžes stavět pouze v domě.;Modified
500276;Tohle můžeš umístit pouze v domě nebo na lodi kterou vlastníš.;Modified
500277;Stavba zrušena. Prosím zkuste znovu.;Modified
500278;Jako mladý hráč nebudeš moci kouzlit posilující kouzla na starší hráče.;Modified
500279;Nalil jsi lektvar do lahve.;Modified
500280;...a umístil do svého batůžku.;Modified
500281;...ale nemáš místo v batůžku.;Modified
500282;Vytvořil jsi lektvar a vlil jsi ho do sudu.;Modified
500283;Nádoba je příliš plná.;Modified
500284;Jsi dost chytrý na to ,aby si mohl přidat jiný typ lektvaru do tohoto sudu.;Modified
500285;Nejsi si jistý co je v sudu, a rozhodl jsi se, že tam nevliješ svůj výtvor.;Modified
500286;Nebyl jsi schopný dokončit práci než jsi zemřel.;Modified
500287;Nepodařilo se ti vyrobit použitelný lektvar.;Modified
500288;Mrtví lidé neumí míchat lektvary.;Modified
500289;Kde je sud nebo láhev pro tvůj lektvar ?;Modified
500290;Přestal jsi míchat a vyprázdnil hmoždíř.;Modified
500291;Používá to někdo jiný.;Modified
500292;Z jaké suroviny chceš lektvar udělat?;Modified
500293;Nebyl jsi schopný dokončit práci než jsi zemřel.;Modified
500294;Nemůžeš to používat.;Modified
500295;Jdi moc daleko na provedení této akce.;Modified
500296;Tohle nemůžeš rozdrtit v hmoždíři.;Modified
500297;Toto není surovina k výrobě lektvaru.;Modified
500298;Nejsi dostatečně zručný, aby si z toho něco udělal.;Modified
500299;Toto není nádoba určená pro skladování lektvarů.;Modified
500300;Neodpovídají si.;Modified
500301;Není tam.;Modified
500302;Unable to find script list on keg.;Original
500303;One potion is missing the 'power' objVar.;Original
500304;Neodpovídají si.;Modified
500305;One potion is missing the 'modifier' objVar.;Original
500306;Neodpovídají si.;Modified
500307;Směs explodovala!;Modified
500308;Cítíš podivný zápach!;Modified
500309;Nic se nestalo.;Modified
500310;Jsi zaneprázdněný něčím jiným.;Modified
500311;Zvol hořák na kterém to ohřeješ nebo surovinu, kterou přidat.;Modified
500312;Nedosáhneš na to.;Modified
500313;Lahvička je prázdná.;Modified
500314;To místo patří někomu jinému.;Modified
500315;Potřbuješ prázdnou lahev, aby si mohl vyrobit lektvar.;Modified
500316;Vytvořil jsi tajemný lektvar !;Modified
500317;Nic se neděje;Modified
500318;Lahvička je prázdná.;Modified
500319;Dostal si amnestii za své činy.  -- princ Joshua.;Modified
500320;Let no good deed go unpunished!  --Lord Blackthorn;Original
500321;Koho mám prozkoumat ?;Modified
500322;Tahle osoba vypadá dobře, myslím ,že možná bude znát nějaké novinky...;Modified
500323;Jen živé věci mají anatomii !;Modified
500324;Sebe už znáš až moc dobře.;Modified
500325;Jsem příliš daleko, nemůžu to udělat.;Modified
500326;To nemůže být prohlédnuto.;Modified
500327;Únava ti nedovoluje rozeznat cokoli užitečného.;Modified
500328;Na které zvíře se mám podívat ?;Modified
500329;Řekl jsem zvíře !;Modified
500330;Řekl jsem zvíře !;Modified
500331;The spirits of the dead are not the province of animal lore.;Original
500332;Jsem příliš daleko, nemůžu to udělat.;Modified
500333;Jsi unavený a nerozeznáš nic užitečného.;Modified
500334;You can't think of anything you know offhand.;Original
500335;Vyber místo, kde vytvoříš svou kovadlinu.;Modified
500336;Nebudeš schopný to poté vložit do svého batůžku.;Modified
500337;Targetobj called;Original
500338;Zde nemůžeš vytvořit kovadlinu.;Modified
500339;Zde nemůžeš vytvořit kovadlinu.;Modified
500340;Targetloc called;Original
500341;Zde nemůžeš vytvořit kovadlinu.;Modified
500342;Zde nemůžeš vytvořit kovadlinu.;Modified
500343;Co si přeješ identifikovat ?;Modified
500344;Nevidíš předmět dost dobře na to, aby si ho mohl určit.;Modified
500345;Nemůžeš se dostatečně soustředit a nic tě nenapadá...;Modified
500346;Cíl nelze zahlédnout.;Modified
500347;Cíl nelze zahlédnout.;Modified
500348;Jsem příliš daleko, nemůžu to udělat.;Modified
500349;O které věci se chceš něco dozvědět?;Modified
500350;Jsi moc daleko na to, aby si se dozvěděl více.;Modified
500351;Nevidíš to dost dobře na to , aby si o tom řekl více.;Modified
500352;Toto není ani zbraň ani zbroj.;Modified
500353;Nejsi si jist...;Modified
500354;Which door do you want to add to my keylist?;Original
500355;ok;Modified
500356;Added door to my keylist.;Original
500357;Pokud tahle páka někdy něco dělala, tak teď už to nědělá.;Modified
500358;Cítíš že páka je uvolněná a uvědomil sis, že již dlouho nic neovládá.;Modified
500359;Zatáhl jsi za páku a myslíš, že jsi něco slyšel, ale uvědomil sis , že to byla jen tvá představivost.;Modified
500360;Bez problémů s pákou pohneš, ale nic nedělá.;Modified
500361;Pohnuls pákou, a teď vypadá více zničená než předtím !;Modified
500362;Jakou zprávu si přeješ poslat hráči ?;Modified
500363;Text entry timed out;Original
500364;Nemůžeš to používat , patří to někomu jinému.;Modified
500365;Používá to někdo jiný.;Modified
500366;Vyber stav,na kterém chceš tkát.;Modified
500367;Zkus z toho tkát na stavu.;Modified
500368;Vytvořil jsi látku a vložil sis ji do batohu.;Modified
500369;I'm a ballot box, not a container!;Original
500370;Enter a line of text for your ballot, and hit ENTER. Hit ESC after the last line is entered.;Original
500371;Hlasy vynulovány.;Modified
500372;You have already voted on this ballot.;Original
500373;Tvůj hlas byl zaznamenán.;Modified
500374;You have already voted on this ballot.;Original
500375;Tvůj hlas byl zaznamenán.;Modified
500376;Ballot entry complete.;Original
500377;Další řádek nebo ESC pro ukončení:;Modified
500378;Jsi kriminálník a nemáš přístup ke svému bankovnímu účtu.;Modified
500379;Musíte říci,kolik si chcete vybrat peněz.;Modified
500380;Děláš si ze mě legraci ? Nemáš tolik zlata !;Modified
500381;Nemůžeš si tolik vybrat !;Modified
500382;Nemáš dost peněz, aby sis mohl tolik vybrat.;Modified
500383;Do šeku lze uložit částka minimálně 5000 zlatých.;Modified
500384;Děláš si ze mě legraci ? Nemáš tolik zlata !;Modified
500385;Nemáš dost peněz, aby sis mohl tolik vybrat.;Modified
500386;Nemáš místo v bance, nemůžeš tam uložit šek!;Modified
500387;To není zlato !;Modified
500388;Přijímám pouze zlaťáky.;Modified
500389;Nebavím se s kriminálníky !;Modified
500390;Tvůj bankovní trezor je plný.;Modified
500391;A bank account can only hold 65,000 gold at the moment.;Original
500392;Příteli, můžeš postrádat pár mincí ?;Modified
500393;Jenom pár zlaťáků.;Modified
500394;jasně že můžeš postrádat ...;Modified
500395;Nejedl jsem už několik dní !;Modified
500396;Musím se starat o 10 dětí !;Modified
500397;Před kým se chceš plazit ?;Modified
500398;Zeptání se bude fungovat lépe.;Modified
500399;Není žádná šance z toho dostat nějaké peníze.;Modified
500400;Není žádná šance z toho dostat nějaké peníze.;Modified
500401;Jsi moc daleko na to,aby si u něj žebral.;Modified
500402;Jsi moc daleko na to,aby si u ní žebral.;Modified
500403;Je příliš daleko, nemůžeš o toho žebrat ..;Modified
500404;Nevypadá,že by ti chtěl dát peníze.;Modified
500405;Je mi vás líto ...;Modified
500406;Nevypadáš moc přesvědčivě ... Ne ne, dneska žádné zlato !;Modified
500407;Nemám žádné peníze co bych ti mohl dát ...;Modified
500408;oběť;Modified
500409;žebrák;Modified
500410;Nevypadáš moc přesvědčivě ... Ne ne, dneska žádné zlato !;Modified
500411;Nemám žádné peníze co bych ti mohl dát ...;Modified
500412;Nemám žádné peníze co bych ti mohl dát ...;Modified
500413;Nemám žádné peníze co bych ti mohl dát ...;Modified
500414;reached end of begging pathfind;Original
500415;Nech mě se podívat....;Modified
500416;I dare not approach thee too closely, lest others think me an easy mark...;Original
500417;A sense of great foreboding overtakes you.;Original
500418;This item is of imported material, probably bought at a store, and does not yield much metal.;Original
500419;Vypadá to , že některý kov kvůli horku ztrácí barvu.;Modified
500420;Nejsi poblíž pece.;Modified
500421;Nemůžeš to používat.;Modified
500422;Nemůžeš opravovat na tomto předmětu.;Modified
500423;Už je to opravené.;Modified
500424;Zničil jsi to !;Modified
500425;Opravil si předmět.;Modified
500426;Nemůžeš to opravit.;Modified
500427;Nemůžeš kout tento předmět.;Modified
500428;Tento podivný materiál je nad tvoje síly, nemáš ani tušení jak s tím pracovat.;Modified
500429;Nemůžeš tavit nic co je oblečeno nebo drženo.;Modified
500430;Cítíš se být donucen nezničit tento štít.;Modified
500431;Můžeš tavit pouze věci, které máš v batohu.;Modified
500432;Můžeš tavit pouze věci, které máš v batohu.;Modified
500433;Tento předmět nemůže být přetaven.;Modified
500434;Už to používá někdo jiný.;Modified
500435;Zvol si z menu nahoře;Modified
500436;Zvol předmět, který má být opraven.;Modified
500437;Zvol předmět, který chceš roztavit.;Modified
500438;Zvol kov, který chceš použít.;Modified
500439;Není dostatek kovu k tomu, aby si vytvořil předmět.;Modified
500440;Nemůžeš tento předmět položit do batůžku! Konstrukce zastavena.;Modified
500441;Přišel jsi o nějaký ten kov.;Modified
500442;Vytvořil jsi předmět a vložil ho do batohu.;Modified
500443;In the process of hammering out the blade, you lose the distinctive color of the source metal.;Original
500444;Díky tvé výtečné dovednosti je kvalita mnohem vyšší než normálně.;Modified
500445;Stěží se ti povedlo předmět vyrobit, jeho kvalita je mizerná.;Modified
500446;Moc daleko.;Modified
500447;Není to přístupné.;Modified
500448;Není to přístupné.;Modified
500449;Tahle ovce ještě není připravena na ostřihání.;Modified
500450;Můžeš stahovat kůže pouze z mrtvých tvorů.;Modified
500451;Nebudeš schopný vložit nastříhanou vlnu do batohu !;Modified
500452;Vložil jsi nastříhanou vlnu do batohu.;Modified
500453;Ovce ti utíká a maří tvoje pokusy o ostříhání.;Modified
500454;Toto dřevo patří někomu jinému.;Modified
500455;Není tu dostatek dřeva.;Modified
500456;Nemůžeš přichystat tuto rybu, patří někomu jinému.;Modified
500457;Už se ti do batohu nevejdou žádné ryby !;Modified
500458;Nařezal jsi rybu a vytvořil tak syrové filety !;Modified
500459;Pokud jsi (spolu)majitel domu, můžeš zničit posunovatelný nábytek uvnitř.;Modified
500460;Můžeš odseknout pouze svojí truhlici;Modified
500461;Zničil si předmět.;Modified
500462;Nemůžeš to zničit, dokud je to tam.;Modified
500463;Budeš potřebovat nějakou sekeru, aby si to mohl zničit.;Modified
500464;Použij to na mrtvoly k ořezání masa a stáhnutí kůže.;Modified
500465;Nemáš kam odnést maso, nechal jsi ho v těle....;Modified
500466;Uřezal si maso.;Modified
500467;Uřezal si maso, které zůstalo v mrtvole.;Modified
500468;Na této mrtvole není žádné použitelné maso.;Modified
500469;Nemáš kam odnést tyto kůže, nechal jsi je v těle...;Modified
500470;Stáhnul si kůži.;Modified
500471;Stáhnul si kůži, která zůstala v mrtvole.;Modified
500472;Kůže nevypadá užitečně.;Modified
500473;You don't have anywhere to carry the furs.  You leave them on the corpse.;Original
500474;Stáhls kůži z mrtvoly.;Modified
500475;Stáhls kůži z mrtvoly.;Modified
500476;The fur does not seem useful.;Original
500477;Nemaáš kam bys odnesl peří, nechal jsi je v těle...;Modified
500478;Oškubal jsi ptáka a sebral peří...;Modified
500479;Oškubal jsi ptáka, peří je teď na těle...;Modified
500480;Nevidíš žádné použitelné peří...;Modified
500481;Nemáš kam odnést vlnu, nechal jsi ji v těle...;Modified
500482;Ostřihal jsi tělo a vzal vlnu...;Modified
500483;Ostříhal jsi to, vlna je teď v těle ...;Modified
500484;Je to ztráta času ...;Modified
500485;Nevidíš nic užitečného na odřezání z této mrtvoly.;Modified
500486;Moc daleko.;Modified
500487;Musíš držet sekeru, aby si mohl sekat dřevo.;Modified
500488;Už tu není žádné dřevo, které by jsi mohl těžit.;Modified
500489;Na to nemůžeš použít sekeru.;Modified
500490;Už se ti do batohu nevejdou žádné třísky.;Modified
500491;Vložil jsi do batohu nějaké třísky...;Modified
500492;Sekerou pravděpodobně dostaneš víc dřeva.;Modified
500493;Už tu není žádné dřevo, které by jsi mohl těžit.;Modified
500494;Nemůžeš na to použít sečné zbraně.;Modified
500495;Chvíli sekáš do stromu, ale nejsi schopný natěžit jakékoli použitelné dřevo.;Modified
500496;Chvíli sekáš do stromu, ale nejsi schopný natěžit jakékoli použitelné dřevo.;Modified
500497;Už se ti do batohu nevejde žádné další dřevo!;Modified
500498;Vložil si do batohu nějaké to dřevo.;Modified
500499;Zničil jsi sekeru.;Modified
500500;Nemáš dost místa v batůžku! Přestal jsi vyrábět.;Modified
500501;Díky tvým vyjímečným dovednostem je kvalita lepší než obvykle.;Modified
500502;Stěží jsi to vyrobil , kvalita je mizerná.;Modified
500503;Pokračuj v kácení ještě chvíli a pak se vrať k osobě co ti dala tenhle úkol.;Modified
500504;Cíl nelze zahlédnout.;Modified
500505;Jako mladý hráč nebudeš moci kouzlit posilující kouzla na starší hráče.;Modified
500506;Který předmět chceš požehnat ?;Modified
500507;Můžeš požehnat pouze předmět!;Modified
500508;Můžeš požehnat pouze předměty které neseš.;Modified
500509;Tohle nemůžeš požehnat!;Modified
500510;Nemůžeš požehnat tenhle předmět.;Modified
500511;Tento předmět je již požehnán.;Modified
500512;Nemůžeš brát předměty z těl starších hráčů.;Modified
500513;Some young warrior felled this, and you cannot bring yourself to take any items from the corpse.;Original
500514;You cannot loot that corpse, as you are not the one that felled it and are not yet confident its slayer has taken everything off it they desire.;Original
500515;Lidské ostatky;Modified
500516;Přidávání oběti do seznamu lovců odměn.;Modified
500517;Otevíram menu.;Modified
500518;You have cancelled the bounty reporting process.;Original
500519;An error has occurred and your murder cannot be reported.;Original
500520;You have cancelled the bounty reporting process.;Original
500521;You have cancelled the bounty reporting process.;Original
500522;Killer's killcount lower than victim's;Original
500523;You cannot report this death because the person who killed you has slain less people than you have.;Original
500524;Victim's notoriety too low to report.;Original
500525;You cannot report this death to Lord British's guards because your notoriety is too low.;Original
500526;Victim flagged criminal;Original
500527;You cannot report this death to Lord British's guards because you are flagged as a criminal because of your recent deeds.;Original
500528;Victim doesn't have lastCriminal attached;Original
500529;Victim's last criminal doesn't match killer;Original
500530;Allowed to report!;Original
500531;Returning killcount.;Original
500532;NULL reward!;Original
500533;Gold resource from bank:;Original
500534;Gold resource on gold after transfer:;Original
500535;Gold resource from board:;Original
500536;odměna !;Modified
500537;A bounty hath been issued for thee, and thy worldly goods are hereby confiscated!;Original
500538;Error attaching bounty script.;Original
500539;Fuj,useknutá hlava.Jak nechutné....;Modified
500540;Fuj,useknutá hlava.Jak nechutné....;Modified
500541;There is indeed a price on this head, but not here. Travel on, my friend, to a precinct of the guards that will pay thee.;Original
500542;We only accept bounty hunting from honorable folk! Away with thee!;Original
500543;I had heard that this scum was taken care of. But thou didst not do the deed, and thus shall not get the reward!;Original
500544;No kills are tallied on this person.;Original
500545;There is a bounty outstanding as well.;Original
500546;I am now bounty hunted!;Original
500547;Reducing bounty count.;Original
500548;Penalizing stats.;Original
500549;Killer must be above neutral to collect bounty.;Original
